,institution,id,order,family,genus,scientificName,countryOrigin,description
0,LMNH,9505178,Lepidoptera,Oecophoridae,Tachystola,"Tachystola acroxantha (Meyrick, 1885)",Europe; United Kingdom,2021
1,LMNH,9505177,Lepidoptera,Oecophoridae,Tachystola,"Tachystola acroxantha (Meyrick, 1885)",Europe; United Kingdom,2021
2,LMNH,9505138,Lepidoptera,Momphidae,Mompha,"Mompha (Mompha) jurassicella (Frey, 1881)",Europe; United Kingdom; England,2021
3,LMNH,9505137,Lepidoptera,Gracillariidae,Caloptilia,"Caloptilia semifascia (Haworth, 1828)",Europe; United Kingdom; England; Buckinghamshire,2021
4,LMNH,9505136,Lepidoptera,Noctuidae,Tiliacea,"Tiliacea aurago (Denis & SchiffermÌ_ller, 1775)",Europe; United Kingdom; England; Buckinghamshire,2021
5,LMNH,9505135,Lepidoptera,Noctuidae,Ochropleura,"Ochropleura leucogaster (Freyer, 1831)",Europe; United Kingdom; England; Dorset,2021
6,LMNH,9505134,Lepidoptera,Pyralidae,Galleria,"Galleria mellonella (Linnaeus, 1758)",Europe; United Kingdom,2021
7,LMNH,9505133,Lepidoptera,Pyralidae,Galleria,"Galleria mellonella (Linnaeus, 1758)",Europe; United Kingdom,2021
8,LMNH,9505092,Lepidoptera,Lyonetiidae,Leucoptera,"Leucoptera laburnella (Stainton, 1851)",Europe; United Kingdom,2021
9,LMNH,9505064,Lepidoptera,Noctuidae,Parascotia,"Parascotia fuliginaria (Linnaeus, 1761)",Europe; United Kingdom,2021
10,LMNH,9505063,Lepidoptera,Geometridae,Philereme,"Philereme vetulata (Denis & SchiffermÌ_ller, 1775)",Europe; United Kingdom,2021
11,LMNH,9505062,Lepidoptera,Lymantriidae,Leucoma,"Leucoma salicis (Linnaeus, 1758)",Europe; United Kingdom,2021
12,LMNH,9505061,Lepidoptera,Nolidae,Meganola,"Meganola albula (Denis & SchiffermÌ_ller, 1775)",Europe; United Kingdom,2021
13,LMNH,9505060,Lepidoptera,Tortricidae,Dichrorampha,"Dichrorampha alpinana (Treitschke, 1830)",Europe; United Kingdom,2021
14,LMNH,9505059,Lepidoptera,Erebidae,Eilema,"Eilema caniola HÌ_bner, 1808",Europe; United Kingdom,2021
15,LMNH,9505058,Lepidoptera,Noctuidae,Macrochilo,"Macrochilo cribrumalis HÌ_bner, 1793",Europe; United Kingdom,2021
16,LMNH,9505057,Lepidoptera,Geometridae,Scopula,Scopula floslactata,Europe; United Kingdom,2021
17,LMNH,9505056,Lepidoptera,Noctuidae,Macrochilo,"Macrochilo cribrumalis HÌ_bner, 1793",Europe; United Kingdom,2021
18,LMNH,9505055,Lepidoptera,Erebidae,Thumatha,"Thumatha senex (HÌ_bner, 1808)",Europe; United Kingdom,2021
19,LMNH,9505054,Lepidoptera,Erebidae,Thumatha,"Thumatha senex (HÌ_bner, 1808)",Europe; United Kingdom,2021
20,LMNH,9495255,Trichoptera,Limnephilidae,Monocentra,"Monocentra lepidoptera Rambur, 1842",,
21,LMNH,9495556,Trichoptera,Limnephilidae,Monocentra,"Monocentra lepidoptera Rambur, 1842",,
22,LMNH,9495584,Trichoptera,Limnephilidae,Monocentra,"Monocentra lepidoptera Rambur, 1842",,
23,LMNH,9495676,Trichoptera,Limnephilidae,Monocentra,"Monocentra lepidoptera Rambur, 1842",,
24,LMNH,9495685,Trichoptera,Limnephilidae,Monocentra,"Monocentra lepidoptera Rambur, 1842",,
25,LMNH,9495345,Trichoptera,Limnephilidae,Monocentra,"Monocentra lepidoptera Rambur, 1842",,
26,LMNH,9495360,Trichoptera,Limnephilidae,Monocentra,"Monocentra lepidoptera Rambur, 1842",,
27,LMNH,9495569,Trichoptera,Limnephilidae,Monocentra,"Monocentra lepidoptera Rambur, 1842",,
28,LMNH,9495717,Trichoptera,Limnephilidae,Monocentra,"Monocentra lepidoptera Rambur, 1842",,
29,LMNH,9426396,Lepidoptera,Erebidae,Platyja,"Platyja lecerfi A.E. Prout, 1922",,
30,LMNH,9426412,Lepidoptera,Erebidae,Platyja,"Platyja cyanocraspis Hampson, 1922",,
31,LMNH,9426405,Lepidoptera,Erebidae,Platyja,"Platyja subtracta Zilli & de Vos, 2021",,
32,LMNH,9426417,Lepidoptera,Erebidae,Platyja,"Platyja yaleyambae Zilli & de Vos, 2021",,
33,LMNH,9426404,Lepidoptera,Erebidae,Platyja,"Platyja togutila Zilli & de Vos, 2021",,
34,LMNH,9504150,Lepidoptera,Riodinidae,Syrmatia,Syrmatia aethiops Staudinger,,
35,LMNH,9504148,Lepidoptera,Riodinidae,Syrmatia,Syrmatia aethiops Staudinger,,
36,LMNH,9504147,Lepidoptera,Riodinidae,Syrmatia,Syrmatia aethiops Staudinger,,
37,LMNH,9504146,Lepidoptera,Nymphalidae,Hermeuptychia,"Hermeuptychia hermes (Fabricius, 1775)",,
38,LMNH,9504145,Lepidoptera,Nymphalidae,Hermeuptychia,"Hermeuptychia hermes (Fabricius, 1775)",,
39,LMNH,9504144,Lepidoptera,Nymphalidae,Hermeuptychia,"Hermeuptychia hermes (Fabricius, 1775)",,
40,LMNH,9504143,Lepidoptera,Nymphalidae,Hermeuptychia,"Hermeuptychia hermes (Fabricius, 1775)",,
41,LMNH,9504142,Lepidoptera,Nymphalidae,Hermeuptychia,"Hermeuptychia hermes (Fabricius, 1775)",,
42,LMNH,848760,Lepidoptera,Nymphalidae,Melanargia,"Melanargia galathea syntelia Fruhstorfer, 1917",Europe,
43,LMNH,848761,Lepidoptera,Nymphalidae,Melanargia,"Melanargia galathea syntelia Fruhstorfer, 1917",Europe,
44,LMNH,1870256,Lepidoptera,Sphingidae,Hemaris,"Hemaris croatica croatica (Esper, 1800)",Europe,
45,LMNH,1870257,Lepidoptera,Sphingidae,Hemaris,"Hemaris croatica croatica (Esper, 1800)",Europe,
46,LMNH,833924,Lepidoptera,Papilionidae,Graphium,"Graphium (Arisbe) policenes (Cramer, 1775)",Africa; Uganda,1956
47,LMNH,840426,Lepidoptera,Papilionidae,Papilio,"Papilio (Pterous) glaucus canadensis Rothschild & Jordan, 1906",North America; Canada; Alberta,
48,LMNH,828919,Lepidoptera,Papilionidae,Graphium,"Graphium (Arisbe) leonidas leonidas (Fabricius, 1793)",Africa; Cameroon,1914
49,LMNH,6963579,Lepidoptera,Saturniidae,Saturnia,"Saturnia pavonia (Linnaeus, 1758)",,1901
50,LMNH,8368111,Lepidoptera,Sphingidae,Sphinx,"Sphinx ligustri Linnaeus, 1758",,
51,LMNH,8424646,Lepidoptera,Sphingidae,Sphinx,"Sphinx ligustri Linnaeus, 1758",,
52,LMNH,8495000,Lepidoptera,Sphingidae,Sphinx,"Sphinx ligustri Linnaeus, 1758",,
53,LMNH,9500768,Lepidoptera,Nymphalidae,Hermeuptychia,"Hermeuptychia hermes (Fabricius, 1775)",,
54,LMNH,9500767,Lepidoptera,Nymphalidae,Byblia,"Byblia ilithyia (Drury, 1773)",,
